個案研判日,縣市,確定病例數
2020/03/26,基隆市,1
2021/05/12,基隆市,1
2021/05/15,基隆市,1
2021/05/16,基隆市,2
2021/05/17,基隆市,6
2021/05/18,基隆市,3
2021/05/19,基隆市,5
2021/05/20,基隆市,5
2021/05/21,基隆市,8
2021/05/22,基隆市,10
2021/05/23,基隆市,5
2021/05/24,基隆市,7
2021/05/25,基隆市,12
2021/05/26,基隆市,14
2021/05/27,基隆市,18
2021/05/28,基隆市,8
2021/05/29,基隆市,14
2021/05/30,基隆市,9
2021/05/31,基隆市,3
2021/06/01,基隆市,8
2021/06/02,基隆市,18
2021/06/03,基隆市,5
2021/06/04,基隆市,6
2021/06/05,基隆市,13
2021/06/06,基隆市,3
2021/06/07,基隆市,3
2021/06/08,基隆市,8
2021/06/09,基隆市,11
2021/06/10,基隆市,13
2021/06/11,基隆市,8
2021/06/12,基隆市,16
2021/06/13,基隆市,7
2021/06/14,基隆市,15
2021/06/15,基隆市,4
2021/06/16,基隆市,2
2021/06/17,基隆市,2
2021/06/18,基隆市,4
2021/06/19,基隆市,2
2021/06/20,基隆市,1
2021/06/21,基隆市,2
2021/06/22,基隆市,2
2021/06/23,基隆市,3
2021/06/24,基隆市,9
2021/06/25,基隆市,1
2021/06/26,基隆市,3
2021/06/28,基隆市,1
2021/06/29,基隆市,1
2021/07/02,基隆市,3
2021/07/05,基隆市,1
2021/07/10,基隆市,1
2021/07/12,基隆市,1
2021/07/20,基隆市,3
2021/07/23,基隆市,1
2021/08/01,基隆市,1
2021/08/10,基隆市,2
2021/10/21,基隆市,2
2022/01/04,基隆市,1
2022/01/17,基隆市,1
2022/03/14,基隆市,1
2022/03/25,基隆市,4
2022/03/26,基隆市,15
2022/03/27,基隆市,7
2022/03/28,基隆市,15
2022/03/29,基隆市,8
2022/03/30,基隆市,33
2022/03/31,基隆市,18
2022/04/01,基隆市,35
2022/04/02,基隆市,41
2022/04/03,基隆市,33
2022/04/04,基隆市,31
2022/04/05,基隆市,28
2022/04/06,基隆市,38
2022/04/07,基隆市,31
2022/04/08,基隆市,40
2022/04/09,基隆市,28
2022/04/10,基隆市,35
2022/04/11,基隆市,38
2022/04/12,基隆市,57
2022/04/13,基隆市,59
2022/04/14,基隆市,45
2022/04/15,基隆市,93
2022/04/16,基隆市,102
2022/04/17,基隆市,106
2022/04/18,基隆市,162
2022/04/19,基隆市,193
2022/04/20,基隆市,204
2022/04/21,基隆市,258
2022/04/22,基隆市,221
2022/04/23,基隆市,292
2022/04/24,基隆市,364
2022/04/25,基隆市,425
2022/04/26,基隆市,476
2022/04/27,基隆市,493
2022/04/28,基隆市,600
2022/04/29,基隆市,718
2022/04/30,基隆市,816
2022/05/01,基隆市,884
2022/05/02,基隆市,1217
2022/05/03,基隆市,1008
2022/05/04,基隆市,924
2022/05/05,基隆市,1453
2022/05/06,基隆市,1553
2022/05/07,基隆市,1321
2022/05/08,基隆市,1490
2022/05/09,基隆市,1506
2022/05/10,基隆市,2123
2022/05/11,基隆市,1850
2022/05/12,基隆市,2020
2022/05/13,基隆市,1914
2022/05/14,基隆市,2136
2022/05/15,基隆市,1705
2022/05/16,基隆市,1921
2022/05/17,基隆市,2405
2022/05/18,基隆市,2557
2022/05/19,基隆市,2042
2022/05/20,基隆市,1735
2022/05/21,基隆市,1784
2022/05/22,基隆市,1431
2022/05/23,基隆市,1874
2022/05/24,基隆市,1760
2022/05/25,基隆市,1661
2022/05/26,基隆市,2021
2022/05/27,基隆市,1424
2022/05/28,基隆市,1229
2022/05/29,基隆市,1038
2022/05/30,基隆市,1623
2022/05/31,基隆市,1401
2022/06/01,基隆市,1179
2022/06/02,基隆市,1258
2022/06/03,基隆市,1009
2022/06/04,基隆市,692
2022/06/05,基隆市,1051
2022/06/06,基隆市,1121
2022/06/07,基隆市,1076
2022/06/08,基隆市,935
2022/06/09,基隆市,933
2022/06/10,基隆市,705
2022/06/11,基隆市,984
2022/06/12,基隆市,547
2022/06/13,基隆市,838
2022/06/14,基隆市,847
2022/06/15,基隆市,822
2022/06/16,基隆市,688
2022/06/17,基隆市,681
2022/06/18,基隆市,677
2022/06/19,基隆市,450
2022/06/20,基隆市,593
2022/06/21,基隆市,702
2022/06/22,基隆市,575
2022/06/23,基隆市,562
2022/06/24,基隆市,530
2022/06/25,基隆市,491
2022/06/26,基隆市,364
2022/06/27,基隆市,492
2022/06/28,基隆市,531
2022/06/29,基隆市,490
2022/06/30,基隆市,446
2022/07/01,基隆市,393
2022/07/02,基隆市,464
2022/07/03,基隆市,247
2022/07/04,基隆市,399
2022/07/05,基隆市,446
2022/07/06,基隆市,465
2022/07/07,基隆市,431
2022/07/08,基隆市,397
2022/07/09,基隆市,421
2022/07/10,基隆市,222
2022/07/11,基隆市,402
2022/07/12,基隆市,429
2022/07/13,基隆市,463
2022/07/14,基隆市,353
2022/07/15,基隆市,420
2022/07/16,基隆市,388
2022/07/17,基隆市,237
2022/07/18,基隆市,417
2022/07/19,基隆市,412
2022/07/20,基隆市,390
2022/07/21,基隆市,348
2022/07/22,基隆市,337
2022/07/23,基隆市,324
2022/07/24,基隆市,230
2022/07/25,基隆市,381
2022/07/26,基隆市,357
2022/07/27,基隆市,438
2022/07/28,基隆市,325
2022/07/29,基隆市,306
2022/07/30,基隆市,334
2022/07/31,基隆市,245
2022/08/01,基隆市,333
2022/08/02,基隆市,402
2022/08/03,基隆市,334
2022/08/04,基隆市,341
2022/08/05,基隆市,327
2022/08/06,基隆市,380
2022/08/07,基隆市,271
2022/08/08,基隆市,343
2022/08/09,基隆市,387
2022/08/10,基隆市,354
2022/08/11,基隆市,347
2022/08/12,基隆市,344
2022/08/13,基隆市,419
2022/08/14,基隆市,227
2022/08/15,基隆市,343
2022/08/16,基隆市,404
2022/08/17,基隆市,419
2022/08/18,基隆市,357
2022/08/19,基隆市,374
2022/08/20,基隆市,433
2022/08/21,基隆市,295
2022/08/22,基隆市,423
2022/08/23,基隆市,485
2022/08/24,基隆市,534
2022/08/25,基隆市,507
2022/08/26,基隆市,447
2022/08/27,基隆市,516
2022/08/28,基隆市,388
2022/08/29,基隆市,505
2022/08/30,基隆市,693
2022/08/31,基隆市,627
2022/09/01,基隆市,612
2022/09/02,基隆市,588
2022/09/03,基隆市,778
2022/09/04,基隆市,439
2022/09/05,基隆市,671
2022/09/06,基隆市,857
2022/09/07,基隆市,715
2022/09/08,基隆市,709
2022/09/09,基隆市,738
2022/09/10,基隆市,700
2022/09/11,基隆市,500
2022/09/12,基隆市,929
2022/09/13,基隆市,967
2022/09/14,基隆市,978
2022/09/15,基隆市,814
2022/09/16,基隆市,801
2022/09/17,基隆市,883
2022/09/18,基隆市,583
2022/09/19,基隆市,822
2022/09/20,基隆市,969
2022/09/21,基隆市,838
2022/09/22,基隆市,656
2022/09/23,基隆市,687
2022/09/24,基隆市,744
2022/09/25,基隆市,499
2022/09/26,基隆市,775
2022/09/27,基隆市,856
2022/09/28,基隆市,817
2022/09/29,基隆市,736
2022/09/30,基隆市,745
2022/10/01,基隆市,790
2022/10/02,基隆市,526
2022/10/03,基隆市,708
2022/10/04,基隆市,1042
2022/10/05,基隆市,852
2022/10/06,基隆市,824
2022/10/07,基隆市,847
2022/10/08,基隆市,762
2022/10/09,基隆市,564
2022/10/10,基隆市,601
2022/10/11,基隆市,752
2022/10/12,基隆市,831
2022/10/13,基隆市,752
2022/10/14,基隆市,709
2022/10/15,基隆市,609
2022/10/16,基隆市,384
2022/10/17,基隆市,648
2022/10/18,基隆市,700
2022/10/19,基隆市,551
2022/10/20,基隆市,497
2022/10/21,基隆市,496
2022/10/22,基隆市,505
2022/10/23,基隆市,379
2022/10/24,基隆市,438
2022/10/25,基隆市,637
2022/10/26,基隆市,472
2022/10/27,基隆市,469
2022/10/28,基隆市,412
2022/10/29,基隆市,487
2022/10/30,基隆市,335
2022/10/31,基隆市,351
2022/11/01,基隆市,474
2022/11/02,基隆市,438
2022/11/03,基隆市,353
2022/11/04,基隆市,290
2022/11/05,基隆市,353
2022/11/06,基隆市,210
2022/11/07,基隆市,253
2022/11/08,基隆市,346
2022/11/09,基隆市,250
2022/11/10,基隆市,274
2022/11/11,基隆市,291
2022/11/12,基隆市,269
2022/11/13,基隆市,189
2022/11/14,基隆市,234
2022/11/15,基隆市,333
2022/11/16,基隆市,317
2022/11/17,基隆市,231
2022/11/18,基隆市,204
2022/11/19,基隆市,251
2022/11/20,基隆市,143
2022/11/21,基隆市,238
2022/11/22,基隆市,252
2022/11/23,基隆市,229
2022/11/24,基隆市,185
2022/11/25,基隆市,180
2022/11/26,基隆市,186
2022/11/27,基隆市,132
2022/11/28,基隆市,174
2022/11/29,基隆市,223
2022/11/30,基隆市,181
2022/12/01,基隆市,167
2022/12/02,基隆市,161
2022/12/03,基隆市,164
2022/12/04,基隆市,123
2022/12/05,基隆市,133
2022/12/06,基隆市,201
2022/12/07,基隆市,180
2022/12/08,基隆市,192
2022/12/09,基隆市,185
2022/12/10,基隆市,156
2022/12/11,基隆市,124
2022/12/12,基隆市,145
2022/12/13,基隆市,213
2022/12/14,基隆市,177
2022/12/15,基隆市,183
2022/12/16,基隆市,185
2022/12/17,基隆市,216
2022/12/18,基隆市,133
2022/12/19,基隆市,167
2022/12/20,基隆市,241
2022/12/21,基隆市,242
2022/12/22,基隆市,228
2022/12/23,基隆市,243
2022/12/24,基隆市,258
2022/12/25,基隆市,178
2022/12/26,基隆市,278
2022/12/27,基隆市,355
2022/12/28,基隆市,424
2022/12/29,基隆市,381
2022/12/30,基隆市,372
2022/12/31,基隆市,433
2023/01/01,基隆市,287
2023/01/02,基隆市,369
2023/01/03,基隆市,468
2023/01/04,基隆市,453
2023/01/05,基隆市,388
2023/01/06,基隆市,383
2023/01/07,基隆市,366
2023/01/08,基隆市,292
2023/01/09,基隆市,352
2023/01/10,基隆市,399
2023/01/11,基隆市,365
2023/01/12,基隆市,372
2023/01/13,基隆市,364
2023/01/14,基隆市,368
2023/01/15,基隆市,240
2023/01/16,基隆市,294
2023/01/17,基隆市,332
2023/01/18,基隆市,356
2023/01/19,基隆市,338
2023/01/20,基隆市,360
2023/01/21,基隆市,373
2023/01/22,基隆市,204
2023/01/23,基隆市,268
2023/01/24,基隆市,307
2023/01/25,基隆市,397
2023/01/26,基隆市,487
2023/01/27,基隆市,544
2023/01/28,基隆市,579
2023/01/29,基隆市,490
2023/01/30,基隆市,486
2023/01/31,基隆市,630
2023/02/01,基隆市,544
2023/02/02,基隆市,474
2023/02/03,基隆市,470
2023/02/04,基隆市,447
2023/02/05,基隆市,314
2023/02/06,基隆市,355
2023/02/07,基隆市,519
2023/02/08,基隆市,426
2023/02/09,基隆市,375
2023/02/10,基隆市,328
2023/02/11,基隆市,361
2023/02/12,基隆市,268
2023/02/13,基隆市,334
2023/02/14,基隆市,340
2023/02/15,基隆市,308
2023/02/16,基隆市,279
2023/02/17,基隆市,237
2023/02/18,基隆市,308
2023/02/19,基隆市,190
2023/02/20,基隆市,241
2023/02/21,基隆市,314
2023/02/22,基隆市,236
2023/02/23,基隆市,221
2023/02/24,基隆市,235
2023/02/25,基隆市,253
2023/02/26,基隆市,113
2023/02/27,基隆市,172
2023/02/28,基隆市,203
2023/03/01,基隆市,201
2023/03/02,基隆市,223
2023/03/03,基隆市,194
2023/03/04,基隆市,197
2023/03/05,基隆市,131
2023/03/06,基隆市,146
2023/03/07,基隆市,190
2023/03/08,基隆市,178
2023/03/09,基隆市,121
2023/03/10,基隆市,176
2023/03/11,基隆市,167
2023/03/12,基隆市,105
2023/03/13,基隆市,140
2023/03/14,基隆市,239
2023/03/15,基隆市,203
2023/03/16,基隆市,166
2023/03/17,基隆市,169
2023/03/18,基隆市,200
2023/03/19,基隆市,146
2023/03/20,基隆市,49
